通番,情報種別,市外局番,電話番号,電番略符号,カナ名称,漢字名称,法人種類コード,住所コード,都道府県名,市区郡町村名,大字通称名,字丁目名,街区番号,郵便番号,基本分類コード,基本分類名,TP分類コード,TP分類名
00000018,0,011,580-8463,,極味 支店,極味 支店,0,01101970927,北海道,札幌市中央区,北二条西,5丁目,7-13,0470879,52,そば・うどん店,5299,ラーメン店
00000019,0,011,663-7263,,函館塩ラーメン,函館塩ラーメン,0,01101493986,北海道,札幌市中央区,南二条西,9丁目,6-17,0860366,52,そば・うどん店,5299,ラーメン店
00000020,0,011,619-7991,,極味 支店,極味 支店,0,01101300127,北海道,札幌市中央区,南四条西,6丁目,5-26,0820880,52,そば・うどん店,5299,ラーメン店
00000021,0,011,131-4194,,旭川ラーメン 本店,旭川ラーメン 本店,1,01101691921,北海道,札幌市中央区,北二条西,4丁目,20-2,0140934,52,そば・うどん店,5299,ラーメン店
00000022,0,011,105-1429,,麺屋 支店,麺屋 支店,0,01101682578,北海道,札幌市中央区,南二条西,1丁目,3-6,0420874,52,そば・うどん店,5299,ラーメン店
00000023,0,011,184-5316,,札幌ラーメン 南六条西,札幌ラーメン 南六条西,0,01101121104,北海道,札幌市中央区,南六条西,8丁目,4-26,0520277,52,そば・うどん店,5299,ラーメン店
00000024,0,011,518-9764,,味噌一番 大通西,味噌一番 大通西,0,01101144555,北海道,札幌市中央区,大通西,5丁目,18-8,0860789,52,そば・うどん店,5299,ラーメン店
00000025,0,011,328-8666,,函館塩ラーメン 中央区,函館塩ラーメン 中央区,0,01101252121,北海道,札幌市中央区,南六条西,9丁目,19-6,0680293,52,そば・うどん店,5299,ラーメン店
00000026,0,011,637-4840,,麺屋 南二条西,麺屋 南二条西,0,01101756168,北海道,札幌市中央区,南二条西,3丁目,12-9,0450917,52,そば・うどん店,5299,ラーメン店
00000027,0,011,949-4423,,札幌ラーメン 中央区,札幌ラーメン 中央区,1,01101473946,北海道,札幌市中央区,南五条西,5丁目,12-6,0660857,52,そば・うどん店,5299,ラーメン店
00000028,0,011,471-2919,,麺屋 中央区,麺屋 中央区,1,01101195228,北海道,札幌市中央区,北二条西,5丁目,10-15,0170240,52,そば・うどん店,5299,ラーメン店
00000029,0,011,835-1460,,北の味 支店,北の味 支店,0,01101607604,北海道,札幌市中央区,南二条西,2丁目,2-16,0980242,52,そば・うどん店,5299,ラーメン店
00000030,0,011,865-6090,,函館塩ラーメン 本店,函館塩ラーメン 本店,1,01101772049,北海道,札幌市中央区,大通西,3丁目,3-14,0650316,52,そば・うどん店,5299,ラーメン店
00000031,0,011,689-5253,,函館塩ラーメン 中央区,函館塩ラーメン 中央区,0,01101819656,北海道,札幌市中央区,南二条西,6丁目,15-9,0200277,52,そば・うどん店,5299,ラーメン店
00000032,0,011,716-1297,,札幌ラーメン 南一条西,札幌ラーメン 南一条西,0,01101454522,北海道,札幌市中央区,南一条西,8丁目,6-7,0220625,52,そば・うどん店,5299,ラーメン店
00000033,0,011,656-9733,,旭川ラーメン 支店,旭川ラーメン 支店,0,01101220402,北海道,札幌市中央区,南四条西,10丁目,5-15,0640749,52,そば・うどん店,5299,ラーメン店
00000034,0,011,673-2199,,極味,極味,0,01101878246,北海道,札幌市中央区,南六条西,2丁目,8-14,0670666,52,そば・うどん店,5299,ラーメン店
00000035,0,011,379-5504,,味噌一番 支店,味噌一番 支店,0,01101376477,北海道,札幌市中央区,北三条西,1丁目,17-2,0610637,52,そば・うどん店,5299,ラーメン店
00000036,0,011,321-5918,,麺屋 支店,麺屋 支店,0,01101884827,北海道,札幌市中央区,南二条西,4丁目,18-16,0640133,52,そば・うどん店,5299,ラーメン店
00000037,0,011,285-1460,,札幌ラーメン,札幌ラーメン,1,01101619849,北海道,札幌市中央区,南二条西,9丁目,7-18,0380565,52,そば・うどん店,5299,ラーメン店
00000038,0,011,523-7462,,味噌一番 中央区,味噌一番 中央区,0,01101116573,北海道,札幌市中央区,南一条西,8丁目,8-18,0370222,52,そば・うどん店,5299,ラーメン店
00000039,0,011,649-1812,,麺屋 本店,麺屋 本店,0,01101786442,北海道,札幌市中央区,南六条西,3丁目,2-3,0440440,52,そば・うどん店,5299,ラーメン店
00000040,0,011,215-4231,,極味 支店,極味 支店,0,01101745091,北海道,札幌市中央区,北三条西,5丁目,16-27,0480222,52,そば・うどん店,5299,ラーメン店
00000041,0,011,963-6812,,函館塩ラーメン 支店,函館塩ラーメン 支店,0,01101291635,北海道,札幌市中央区,南四条西,9丁目,4-12,0160774,52,そば・うどん店,5299,ラーメン店
00000042,0,011,676-6648,,北の味 大通西,北の味 大通西,1,01101738060,北海道,札幌市中央区,大通西,2丁目,3-24,0180367,52,そば・うどん店,5299,ラーメン店
00000043,0,011,625-5676,,函館塩ラーメン 支店,函館塩ラーメン 支店,0,01101420245,北海道,札幌市中央区,南二条西,4丁目,19-21,0130412,52,そば・うどん店,5299,ラーメン店
00000044,0,011,613-8083,,味噌一番,味噌一番,0,01101741445,北海道,札幌市中央区,南二条西,3丁目,6-11,0410168,52,そば・うどん店,5299,ラーメン店
00000045,0,011,921-9012,,麺屋 支店,麺屋 支店,1,01101983402,北海道,札幌市中央区,南五条西,10丁目,7-3,0180306,52,そば・うどん店,5299,ラーメン店
00000046,0,011,176-3746,,味噌一番 本店,味噌一番 本店,0,01101684588,北海道,札幌市中央区,南三条西,5丁目,20-28,0330760,52,そば・うどん店,5299,ラーメン店
00000047,0,011,905-2991,,味噌一番 南五条西,味噌一番 南五条西,0,01101825736,北海道,札幌市中央区,南五条西,10丁目,20-28,0960402,52,そば・うどん店,5299,ラーメン店
00000048,0,011,174-3599,,旭川ラーメン 中央区,旭川ラーメン 中央区,1,01101577792,北海道,札幌市中央区,南六条西,5丁目,7-1,0440412,52,そば・うどん店,5299,ラーメン店
00000049,0,011,543-5714,,麺屋,麺屋,0,01101616258,北海道,札幌市中央区,大通西,5丁目,15-1,0270883,52,そば・うどん店,5299,ラーメン店
00000050,0,011,193-2955,,味噌一番 支店,味噌一番 支店,0,01101894774,北海道,札幌市中央区,北一条西,1丁目,18-29,0280688,52,そば・うどん店,5299,ラーメン店
00000051,0,011,800-8540,,麺屋 南二条西,麺屋 南二条西,0,01101290193,北海道,札幌市中央区,南二条西,8丁目,4-13,0570369,52,そば・うどん店,5299,ラーメン店
00000052,0,011,862-6659,,函館塩ラーメン,函館塩ラーメン,0,01101626986,北海道,札幌市中央区,南四条西,10丁目,9-10,0200434,52,そば・うどん店,5299,ラーメン店
00000053,0,011,686-8219,,北の味 中央区,北の味 中央区,0,01101166447,北海道,札幌市中央区,北三条西,1丁目,16-14,0870105,52,そば・うどん店,5299,ラーメン店
00000054,0,011,413-8290,,旭川ラーメン,旭川ラーメン,0,01101333797,北海道,札幌市中央区,北二条西,8丁目,9-22,0470257,52,そば・うどん店,5299,ラーメン店
00000055,0,011,936-2899,,札幌ラーメン 中央区,札幌ラーメン 中央区,0,01101756766,北海道,札幌市中央区,南三条西,8丁目,6-29,0750534,52,そば・うどん店,5299,ラーメン店
00000056,0,011,166-5213,,極味 北三条西,極味 北三条西,0,01101646220,北海道,札幌市中央区,北三条西,5丁目,9-12,0490477,52,そば・うどん店,5299,ラーメン店
00000057,0,011,410-6564,,北の味 中央区,北の味 中央区,0,01101987484,北海道,札幌市中央区,北二条西,8丁目,17-10,0320704,52,そば・うどん店,5299,ラーメン店
00000058,0,011,903-8485,,旭川ラーメン 支店,旭川ラーメン 支店,0,01101861777,北海道,札幌市中央区,南五条西,6丁目,4-10,0480783,52,そば・うどん店,5299,ラーメン店
00000059,0,011,563-7248,,北の味 中央区,北の味 中央区,1,01101249845,北海道,札幌市中央区,北三条西,3丁目,10-27,0270897,52,そば・うどん店,5299,ラーメン店
00000060,0,011,494-2666,,味噌一番 支店,味噌一番 支店,0,01101935937,北海道,札幌市中央区,南五条西,6丁目,1-8,0880537,52,そば・うどん店,5299,ラーメン店
00000061,0,011,785-6600,,札幌ラーメン 本店,札幌ラーメン 本店,0,01101490549,北海道,札幌市中央区,南二条西,6丁目,13-25,0180704,52,そば・うどん店,5299,ラーメン店
00000062,0,011,807-8913,,函館塩ラーメン,函館塩ラーメン,0,01101690841,北海道,札幌市中央区,南四条西,6丁目,16-17,0620246,52,そば・うどん店,5299,ラーメン店
00000063,0,011,727-3816,,麺屋 支店,麺屋 支店,1,01101730605,北海道,札幌市中央区,大通西,1丁目,5-9,0370861,52,そば・うどん店,5299,ラーメン店
00000064,0,011,530-2420,,函館塩ラーメン 南五条西,函館塩ラーメン 南五条西,1,01101380354,北海道,札幌市中央区,南五条西,3丁目,13-28,0160437,52,そば・うどん店,5299,ラーメン店
00000065,0,011,892-4313,,味噌一番 北二条西,味噌一番 北二条西,0,01101792883,北海道,札幌市中央区,北二条西,10丁目,17-7,0830298,52,そば・うどん店,5299,ラーメン店
00000066,0,011,110-7127,,函館塩ラーメン 支店,函館塩ラーメン 支店,0,01101384354,北海道,札幌市中央区,北三条西,6丁目,14-30,0300741,52,そば・うどん店,5299,ラーメン店
00000067,0,011,814-7545,,北の味 中央区,北の味 中央区,0,01101458240,北海道,札幌市中央区,北三条西,1丁目,19-11,0790132,52,そば・うどん店,5299,ラーメン店
00000068,0,011,302-5324,,北の味 中央区,北の味 中央区,0,01101755368,北海道,札幌市中央区,南三条西,10丁目,16-28,0720274,52,そば・うどん店,5299,ラーメン店
00000069,0,011,508-1502,,函館塩ラーメン 中央区,函館塩ラーメン 中央区,0,01101871577,北海道,札幌市中央区,南二条西,7丁目,6-22,0270364,52,そば・うどん店,5299,ラーメン店
00000070,0,011,526-2011,,味噌一番 支店,味噌一番 支店,0,01101909632,北海道,札幌市中央区,南二条西,6丁目,5-25,0210698,52,そば・うどん店,5299,ラーメン店
00000071,0,011,239-6863,,札幌ラーメン,札幌ラーメン,0,01101449297,北海道,札幌市中央区,北二条西,6丁目,15-29,0310925,52,そば・うどん店,5299,ラーメン店
00000072,0,011,898-1584,,旭川ラーメン 本店,旭川ラーメン 本店,1,01101324943,北海道,札幌市中央区,北二条西,7丁目,14-27,0310947,52,そば・うどん店,5299,ラーメン店
00000073,0,011,805-3378,,函館塩ラーメン 北一条西,函館塩ラーメン 北一条西,1,01101139358,北海道,札幌市中央区,北一条西,10丁目,16-19,0950785,52,そば・うどん店,5299,ラーメン店
00000074,0,011,943-5817,,味噌一番,味噌一番,0,01101563036,北海道,札幌市中央区,北二条西,8丁目,19-27,0330241,52,そば・うどん店,5299,ラーメン店
00000075,0,011,967-4171,,札幌ラーメン 南四条西,札幌ラーメン 南四条西,0,01101324739,北海道,札幌市中央区,南四条西,1丁目,13-19,0560666,52,そば・うどん店,5299,ラーメン店
00000076,0,011,637-8771,,北の味 南三条西,北の味 南三条西,0,01101234654,北海道,札幌市中央区,南三条西,2丁目,3-21,0510689,52,そば・うどん店,5299,ラーメン店
00000077,0,011,995-1964,,旭川ラーメン 南四条西,旭川ラーメン 南四条西,0,01101792750,北海道,札幌市中央区,南四条西,5丁目,18-3,0990919,52,そば・うどん店,5299,ラーメン店
00000078,0,011,978-6724,,麺屋 本店,麺屋 本店,0,01101568850,北海道,札幌市中央区,南六条西,9丁目,18-6,0590362,52,そば・うどん店,5299,ラーメン店
00000079,0,011,501-3043,,麺屋 本店,麺屋 本店,0,01101309331,北海道,札幌市中央区,南五条西,10丁目,13-21,0850731,52,そば・うどん店,5299,ラーメン店
00000080,0,011,489-1737,,極味,極味,0,01101960285,北海道,札幌市中央区,南一条西,7丁目,6-16,0870693,52,そば・うどん店,5299,ラーメン店
00000081,0,011,324-5375,,旭川ラーメン 支店,旭川ラーメン 支店,0,01101542922,北海道,札幌市中央区,北一条西,7丁目,12-3,0620492,52,そば・うどん店,5299,ラーメン店
00000082,0,011,403-9802,,旭川ラーメン 南六条西,旭川ラーメン 南六条西,0,01101710589,北海道,札幌市中央区,南六条西,2丁目,7-11,0500483,52,そば・うどん店,5299,ラーメン店
00000083,0,011,826-1993,,味噌一番 中央区,味噌一番 中央区,1,01101289835,北海道,札幌市中央区,北三条西,1丁目,8-27,0920807,52,そば・うどん店,5299,ラーメン店
00000084,0,011,794-1463,,味噌一番,味噌一番,0,01101282594,北海道,札幌市中央区,北一条西,10丁目,6-30,0990621,52,そば・うどん店,5299,ラーメン店
00000085,0,011,496-5755,,函館塩ラーメン 北三条西,函館塩ラーメン 北三条西,0,01101951739,北海道,札幌市中央区,北三条西,1丁目,3-2,0630538,52,そば・うどん店,5299,ラーメン店
00000086,0,011,879-1044,,函館塩ラーメン 中央区,函館塩ラーメン 中央区,1,01101643472,北海道,札幌市中央区,南六条西,9丁目,9-3,0680167,52,そば・うどん店,5299,ラーメン店
00000087,0,011,742-2911,,札幌ラーメン 本店,札幌ラーメン 本店,0,01101909469,北海道,札幌市中央区,南六条西,1丁目,6-25,0940460,52,そば・うどん店,5299,ラーメン店
00000088,0,011,221-5950,,北の味 本店,北の味 本店,0,01101848545,北海道,札幌市中央区,北二条西,9丁目,19-30,0380161,52,そば・うどん店,5299,ラーメン店
00000089,0,011,385-6662,,味噌一番 中央区,味噌一番 中央区,0,01101553834,北海道,札幌市中央区,南五条西,4丁目,2-20,0720258,52,そば・うどん店,5299,ラーメン店
00000090,0,011,413-4443,,旭川ラーメン 中央区,旭川ラーメン 中央区,0,01101960804,北海道,札幌市中央区,大通西,8丁目,4-25,0270899,52,そば・うどん店,5299,ラーメン店
00000091,0,011,641-1561,,麺屋 中央区,麺屋 中央区,0,01101175679,北海道,札幌市中央区,南五条西,4丁目,15-12,0960550,52,そば・うどん店,5299,ラーメン店
00000092,0,011,377-5042,,札幌ラーメン,札幌ラーメン,0,01101346336,北海道,札幌市中央区,南二条西,9丁目,9-4,0630389,52,そば・うどん店,5299,ラーメン店
00000093,0,011,906-2820,,麺屋,麺屋,0,01101284788,北海道,札幌市中央区,北二条西,5丁目,13-30,0130255,52,そば・うどん店,5299,ラーメン店
00000094,0,011,274-2693,,旭川ラーメン 本店,旭川ラーメン 本店,0,01101749653,北海道,札幌市中央区,南五条西,3丁目,18-15,0760520,52,そば・うどん店,5299,ラーメン店
00000095,0,011,289-5955,,札幌ラーメン 本店,札幌ラーメン 本店,0,01101812637,北海道,札幌市中央区,南六条西,4丁目,18-6,0770345,52,そば・うどん店,5299,ラーメン店
00000096,0,011,440-5886,,麺屋 南三条西,麺屋 南三条西,1,01101610006,北海道,札幌市中央区,南三条西,8丁目,12-28,0110875,52,そば・うどん店,5299,ラーメン店
00000097,0,011,430-4841,,札幌ラーメン 南三条西,札幌ラーメン 南三条西,0,01101175743,北海道,札幌市中央区,南三条西,6丁目,5-10,0370687,52,そば・うどん店,5299,ラーメン店
00000098,0,011,324-2430,,札幌ラーメン 支店,札幌ラーメン 支店,0,01101707703,北海道,札幌市中央区,北二条西,4丁目,11-2,0330231,52,そば・うどん店,5299,ラーメン店
00000099,0,011,335-7170,,函館塩ラーメン 本店,函館塩ラーメン 本店,1,01101929958,北海道,札幌市中央区,南三条西,7丁目,9-14,0280620,52,そば・うどん店,5299,ラーメン店
00000100,0,011,385-2671,,旭川ラーメン 北一条西,旭川ラーメン 北一条西,0,01101842911,北海道,札幌市中央区,北一条西,8丁目,4-30,0940545,52,そば・うどん店,5299,ラーメン店
00000101,0,011,760-3324,,海鮮 支店,海鮮 支店,0,01101152605,北海道,札幌市中央区,南四条西,8丁目,17-20,0540406,52,そば・うどん店,5205,居酒屋
00000102,0,011,533-7422,,酒処 大通西,酒処 大通西,0,01101499324,北海道,札幌市中央区,大通西,6丁目,12-6,0270640,52,そば・うどん店,5205,居酒屋
00000103,0,011,548-4773,,北の幸 中央区,北の幸 中央区,0,01101948330,北海道,札幌市中央区,南四条西,6丁目,15-15,0980973,52,そば・うどん店,5205,居酒屋
00000104,0,011,599-1217,,炉端 本店,炉端 本店,0,01101250783,北海道,札幌市中央区,大通西,2丁目,5-3,0190202,52,そば・うどん店,5205,居酒屋
00000105,0,011,418-8132,,北の幸 支店,北の幸 支店,0,01101520587,北海道,札幌市中央区,大通西,3丁目,11-20,0350598,52,そば・うどん店,5205,居酒屋
00000106,0,011,254-1545,,炉端 本店,炉端 本店,0,01101953452,北海道,札幌市中央区,南五条西,3丁目,3-1,0620292,52,そば・うどん店,5205,居酒屋
00000107,0,011,986-8499,,居酒屋 本店,居酒屋 本店,0,01101500907,北海道,札幌市中央区,南五条西,4丁目,7-26,0660685,52,そば・うどん店,5205,居酒屋
00000108,0,011,742-3510,,海鮮 北二条西,海鮮 北二条西,0,01101497740,北海道,札幌市中央区,北二条西,7丁目,12-20,0240523,52,そば・うどん店,5205,居酒屋
00000109,0,011,916-8672,,居酒屋 支店,居酒屋 支店,1,01101411252,北海道,札幌市中央区,南三条西,8丁目,19-23,0410320,52,そば・うどん店,5205,居酒屋
00000110,0,011,208-2872,,海鮮 支店,海鮮 支店,0,01101802802,北海道,札幌市中央区,南三条西,7丁目,11-20,0480995,52,そば・うどん店,5205,居酒屋
00000111,0,011,140-7026,,居酒屋 中央区,居酒屋 中央区,0,01101933266,北海道,札幌市中央区,南一条西,7丁目,17-18,0840396,52,そば・うどん店,5205,居酒屋
00000112,0,011,196-3023,,居酒屋 南六条西,居酒屋 南六条西,0,01101592309,北海道,札幌市中央区,南六条西,7丁目,7-14,0960880,52,そば・うどん店,5205,居酒屋
00000113,0,011,107-9868,,ジンギスカン 本店,ジンギスカン 本店,0,01101846012,北海道,札幌市中央区,南二条西,1丁目,3-1,0460377,52,そば・うどん店,5205,居酒屋
00000114,0,011,113-2251,,酒処 支店,酒処 支店,0,01101639513,北海道,札幌市中央区,北二条西,4丁目,18-23,0660648,52,そば・うどん店,5205,居酒屋
00000115,0,011,641-4290,,海鮮,海鮮,0,01101164155,北海道,札幌市中央区,南二条西,5丁目,7-1,0340530,52,そば・うどん店,5205,居酒屋
00000116,0,011,261-9875,,焼鳥 大通西,焼鳥 大通西,0,01101175424,北海道,札幌市中央区,大通西,7丁目,10-19,0890871,52,そば・うどん店,5205,居酒屋
00000117,0,011,991-9250,,居酒屋 中央区,居酒屋 中央区,0,01101188108,北海道,札幌市中央区,南五条西,8丁目,8-5,0760127,52,そば・うどん店,5205,居酒屋
00000118,0,011,822-1718,,居酒屋 南二条西,居酒屋 南二条西,1,01101559157,北海道,札幌市中央区,南二条西,8丁目,2-18,0930680,52,そば・うどん店,5205,居酒屋
00000119,0,011,299-9037,,居酒屋 支店,居酒屋 支店,1,01101889118,北海道,札幌市中央区,南六条西,10丁目,20-2,0320493,52,そば・うどん店,5205,居酒屋
00000120,0,011,756-4474,,居酒屋 本店,居酒屋 本店,0,01101237535,北海道,札幌市中央区,南一条西,9丁目,17-14,0980355,52,そば・うどん店,5205,居酒屋
00000121,0,011,615-5041,,ジンギスカン 本店,ジンギスカン 本店,1,01101468219,北海道,札幌市中央区,南二条西,9丁目,9-29,0320361,52,そば・うどん店,5205,居酒屋
00000122,0,011,363-3594,,海鮮 中央区,海鮮 中央区,1,01101220390,北海道,札幌市中央区,南五条西,10丁目,20-23,0740803,52,そば・うどん店,5205,居酒屋
00000123,0,011,170-8386,,炉端 本店,炉端 本店,0,01101175495,北海道,札幌市中央区,北二条西,6丁目,1-12,0540151,52,そば・うどん店,5205,居酒屋
00000124,0,011,789-5472,,ジンギスカン 中央区,ジンギスカン 中央区,1,01101307907,北海道,札幌市中央区,北二条西,5丁目,5-28,0830238,52,そば・うどん店,5205,居酒屋
00000125,0,011,959-8871,,焼鳥 支店,焼鳥 支店,0,01101226455,北海道,札幌市中央区,南五条西,1丁目,8-26,0700515,52,そば・うどん店,5205,居酒屋
00000126,0,011,128-3450,,焼鳥 中央区,焼鳥 中央区,1,01101313010,北海道,札幌市中央区,南三条西,3丁目,1-16,0150696,52,そば・うどん店,5205,居酒屋
00000127,0,011,968-5332,,ジンギスカン 大通西,ジンギスカン 大通西,0,01101684960,北海道,札幌市中央区,大通西,7丁目,3-18,0730871,52,そば・うどん店,5205,居酒屋
00000128,0,011,636-3207,,酒処,酒処,0,01101943128,北海道,札幌市中央区,南三条西,6丁目,4-3,0530105,52,そば・うどん店,5205,居酒屋
00000129,0,011,373-6023,,酒処,酒処,0,01101768159,北海道,札幌市中央区,北二条西,9丁目,13-4,0700212,52,そば・うどん店,5205,居酒屋
00000130,0,011,844-7994,,居酒屋 南五条西,居酒屋 南五条西,0,01101840718,北海道,札幌市中央区,南五条西,4丁目,18-9,0150160,52,そば・うどん店,5205,居酒屋
00000131,0,011,329-4931,,ジンギスカン 支店,ジンギスカン 支店,1,01101944496,北海道,札幌市中央区,南一条西,4丁目,4-14,0350193,52,そば・うどん店,5205,居酒屋
00000132,0,011,405-3201,,焼鳥 本店,焼鳥 本店,0,01101999577,北海道,札幌市中央区,北一条西,8丁目,18-16,0980782,52,そば・うどん店,5205,居酒屋
00000133,0,011,734-6276,,ジンギスカン 本店,ジンギスカン 本店,0,01101134109,北海道,札幌市中央区,南六条西,5丁目,19-3,0930169,52,そば・うどん店,5205,居酒屋
00000134,0,011,650-5919,,居酒屋 本店,居酒屋 本店,0,01101945545,北海道,札幌市中央区,南五条西,10丁目,7-6,0940929,52,そば・うどん店,5205,居酒屋
00000135,0,011,924-3325,,居酒屋 本店,居酒屋 本店,0,01101417911,北海道,札幌市中央区,北一条西,10丁目,14-21,0220234,52,そば・うどん店,5205,居酒屋
00000136,0,011,197-7288,,海鮮 中央区,海鮮 中央区,0,01101754700,北海道,札幌市中央区,南六条西,6丁目,5-27,0780627,52,そば・うどん店,5205,居酒屋
00000137,0,011,858-2151,,北の幸 本店,北の幸 本店,1,01101104307,北海道,札幌市中央区,北一条西,9丁目,12-20,0370109,52,そば・うどん店,5205,居酒屋
00000138,0,011,291-3999,,ジンギスカン 支店,ジンギスカン 支店,1,01101669313,北海道,札幌市中央区,北三条西,3丁目,9-9,0680983,52,そば・うどん店,5205,居酒屋
00000139,0,011,392-7219,,炉端 中央区,炉端 中央区,0,01101628191,北海道,札幌市中央区,南五条西,2丁目,19-7,0230451,52,そば・うどん店,5205,居酒屋
00000140,0,011,905-7893,,酒処 南五条西,酒処 南五条西,1,01101976581,北海道,札幌市中央区,南五条西,2丁目,8-24,0950296,52,そば・うどん店,5205,居酒屋
00000141,0,011,827-6242,,海鮮 本店,海鮮 本店,0,01101606298,北海道,札幌市中央区,南四条西,10丁目,11-9,0100660,52,そば・うどん店,5205,居酒屋
00000142,0,011,615-8377,,ジンギスカン 支店,ジンギスカン 支店,0,01101429482,北海道,札幌市中央区,北二条西,4丁目,6-22,0240254,52,そば・うどん店,5205,居酒屋
00000143,0,011,526-5210,,海鮮,海鮮,0,01101914306,北海道,札幌市中央区,北一条西,3丁目,2-15,0730996,52,そば・うどん店,5205,居酒屋
00000144,0,011,516-1872,,焼鳥 本店,焼鳥 本店,0,01101521018,北海道,札幌市中央区,南一条西,4丁目,15-26,0840751,52,そば・うどん店,5205,居酒屋
00000145,0,011,875-4043,,ジンギスカン 本店,ジンギスカン 本店,0,01101735628,北海道,札幌市中央区,南四条西,8丁目,2-18,0710221,52,そば・うどん店,5205,居酒屋
00000146,0,011,524-4000,,北の幸 中央区,北の幸 中央区,0,01101538171,北海道,札幌市中央区,北二条西,5丁目,3-12,0550704,52,そば・うどん店,5205,居酒屋
00000147,0,011,682-5706,,北の幸 南五条西,北の幸 南五条西,1,01101293122,北海道,札幌市中央区,南五条西,10丁目,7-4,0420110,52,そば・うどん店,5205,居酒屋
00000148,0,011,660-1818,,ジンギスカン,ジンギスカン,0,01101992968,北海道,札幌市中央区,南一条西,6丁目,4-28,0650174,52,そば・うどん店,5205,居酒屋
00000149,0,011,872-5303,,居酒屋 中央区,居酒屋 中央区,0,01101824330,北海道,札幌市中央区,北二条西,9丁目,2-15,0280113,52,そば・うどん店,5205,居酒屋
00000150,0,011,179-4230,,ジンギスカン 中央区,ジンギスカン 中央区,0,01101912085,北海道,札幌市中央区,北一条西,3丁目,1-16,0410310,52,そば・うどん店,5205,居酒屋
00000151,0,011,980-8328,,北の幸,北の幸,0,01101496686,北海道,札幌市中央区,南六条西,5丁目,12-4,0880167,52,そば・うどん店,5205,居酒屋
00000152,0,011,972-6886,,酒処 支店,酒処 支店,1,01101596886,北海道,札幌市中央区,南三条西,6丁目,19-26,0620611,52,そば・うどん店,5205,居酒屋
00000153,0,011,882-7100,,北の幸,北の幸,0,01101371658,北海道,札幌市中央区,南六条西,10丁目,17-7,0420513,52,そば・うどん店,5205,居酒屋
