入札日,開札日,ステータス,フェーズ,サブカテゴリ,機関タイプ,発注機関,発注地域,件名,年度,入札種別,落札会社名,落札金額,予定金額,応札企業,応札社数,リンク
2026-03-12,,公募中,③PoC,,国,財務省/東京税関,東京都,税関業務における生成AIの活用に関する調査研究及び実証実験,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU3MDg4Mw==
2026-03-11,,公募中,④構築,生成AIサービス導入,市区町村,山形県市町村/長井市,山形県,長井市生成AIサービス提供業務【長井市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU4MTcxMA==
2026-03-11,,公募中,③PoC,,国,デジタル庁,東京都,ガバメントAIに係る生成AI利用環境の大規模導入実証事業,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUxNzM4Mw==
2026-03-09,,公募中,④構築,生成AI（その他）,都道府県,兵庫県,兵庫県,文章生成AIクラウドサービス調達,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTYwNTM3Ng==
2026-03-09,2025-03-10,落札済,⑤運用,,都道府県,東京都,東京都,緊急避妊薬処方に係る医療機関検索システム及び東京都チャットボット総合案内「妊娠したかも相談＠東京」外部リンクコンテンツ運用保守業務委託,FY2025,,ジャパニアス株式会社,3115200,,"{応札企業名＝ジャパニアス株式会社、応札結果・備考＝、応札金額＝2832000},{応札企業名＝株式会社プラージュ、応札結果・備考＝、応札金額＝4800000},{応札企業名＝デロイトトーマツサイバー合同会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝ＧＣ株式会社、応札結果・備考＝不参、応札金額＝},{応札企業名＝株式会社トライビート、応札結果・備考＝不参、応札金額＝}",15,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNTM0NDY1Mg==
2026-03-09,,公募中,④構築,生成AI（その他）,国,国土交通省,東京都,生成ＡＩ利活用検討業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU1NzcxNw==
2026-03-09,,公募中,③PoC,,国,金融庁,東京都,生成AIを活用した地域金融機関のDX化に向けた実証研究事業,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUyMzU2MA==
2026-03-06,,公募中,④構築,生成AI（その他）,国,国土交通省/中国地方整備局,広島県,令和８年度機能統合型生成AIサービス,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ4ODk4Nw==
2026-03-06,,公募中,⑤運用,,独法,独立行政法人日本原子力研究開発機構,茨城県,生成AI基盤システムの企画・開発・運用に係る労働者派遣契約,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTMwNDM0Nw==
2026-03-05,,公募中,⑤運用,,市区町村,その他愛知県市町村/豊田市,愛知県,ＲＡＧ機能を有する生成ＡＩ賃貸借【豊田市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU0MzE5Mw==
2026-03-05,,公募中,④構築,教育・学校AI,市区町村,沖縄県市町村/那覇市,沖縄県,令和8年度那覇市立中学校生成AI英会話システム導入業務【那覇市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM4NjQ4OA==
2026-03-05,,公募中,⑤運用,,独法,地方公共団体金融機構,東京都,令和８年度生成AIサービス利用環境提供業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM4NjM1OQ==
2026-03-04,2024-03-19,落札済,④構築,生成AIサービス導入,市区町村,名古屋市,愛知県,生成ＡＩサービス提供委託【名古屋市】,FY2025,,エヌ・ティ・ティ・コミュニケーションズ株式会社 東海支社,4530000,,"{応札企業名＝エヌ・ティ・ティ・コミュニケーションズ株式会社　東海支社、応札結果・備考＝入札書記載金額結果:落札(第1回~第3回は入札書記載金額)、応札金額＝4530000},{応札企業名＝ヒューマンリソシア株式会社、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝5799000},{応札企業名＝西日本電信電話株式会社　東海支店、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝7350000},{応札企業名＝株式会社Ｅｘａ　Ｅｎｔｅｒｐｒｉｓｅ　ＡＩ、応札結果・備考＝(第1回~第3回は入札書記載金額)、応札金額＝8280000}",12,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNFIyMzUxMTQ4OA==
2026-03-03,2025-03-19,落札済,⑤運用,,都道府県,長崎県,長崎県,生成AIサービスのライセンス調達及び活用支援業務委託,FY2025,,株式会社エクサウィザーズ,2704000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNTM5NDUwNQ==
2026-03-03,,公募中,④構築,チャットボット,市区町村,その他兵庫県市町村/上郡町,兵庫県,住民問い合わせ対応AIチャットボットシステム調達【上郡町】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUwMzQ0Mw==
2026-03-02,2025-10-14,落札済,①研修,,都道府県,東京都,東京都,リスキリング人材強化研修（生成AI活用）実施委託,FY2025,,株式会社エージェント,3718000,,"{応札企業名＝株式会社エージェント、応札結果・備考＝、応札金額＝3380000},{応札企業名＝株式会社インソース、応札結果・備考＝、応札金額＝3632750},{応札企業名＝株式会社ＮＴＴ　ＤＸパートナー、応札結果・備考＝、応札金額＝8300000},{応札企業名＝株式会社富士通ラーニングメディア、応札結果・備考＝、応札金額＝8700000},{応札企業名＝株式会社リンクアカデミー、応札結果・備考＝、応札金額＝9900000},{応札企業名＝株式会社ディジタルグロースアカデミア、応札結果・備考＝、応札金額＝9923212},{応札企業名＝株式会社エヌ・ティ・ティ・データ経営研究所、応札結果・備考＝、応札金額＝30000000}",21,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjUzMzM0NQ==
2026-02-27,,公募中,⑤運用,,国,防衛省/陸上自衛隊/久里浜駐屯地（システム通信・サイバー学校）,神奈川県,ライセンス購入（生成ＡＩ forアカデミー）,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTYwNDEyMQ==
2026-02-27,,公募中,③PoC,,国,国土交通省,東京都,まちづくりDXの推進に向けた衛星データを活用したモデル作成実証および生成AI技術を用いた3D都市モデルの作成手法の開発業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUwNTg3NA==
2026-02-27,,公募中,④構築,活用支援・コンサル,その他,日本郵政グループ/株式会社ゆうちょ銀行,東京都,戦略的システム利活用・体制強化と生成AI活用人材の共創的育成に係るアドバイザリー・サービスの委託,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ0MjcwNA==
2026-02-26,,公募中,⑤運用,,都道府県,三重県,三重県,令和８年度みえ産廃申請案内チャットボットサービス運用業務委託,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUwMDk1OQ==
2026-02-25,,公募中,④構築,生成AI（その他）,国,防衛省/陸上自衛隊/久里浜駐屯地（システム通信・サイバー学校）,神奈川県,（ＯＣ３３０）生成AIと脳ほか１７件,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU3ODE4OQ==
2026-02-24,,結果待ち,④構築,庁内生成AI環境,市区町村,京都市,京都府,令和8年度 庁内利活用のための汎用的な生成AIサービス提供事業者【京都市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUyMzcwOA==
2026-02-24,,結果待ち,⑤運用,,独法,国立大学法人/新潟大学,新潟県,教育機関向け生成ＡＩサービスライセンスの更新 一式,FY2025,随意,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ3NDY3NA==
2026-02-20,,結果待ち,④構築,生成AI（その他）,独法,警察庁/警察大学校,東京都,生成AI研究用機器の購入,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUxMjQ4MQ==
2026-02-20,,結果待ち,⑤運用,,国,金融庁,東京都,海外における資産運用に係る生成AIの活用に関する調査,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ5NDA4OA==
2026-02-20,,結果待ち,④構築,生成AIサービス導入,都道府県,三重県,三重県,令和８年度三重県生成AI利用環境等提供委託業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQyNzk2MA==
2026-02-20,,結果待ち,④構築,生成AIサービス導入,都道府県,神奈川県,神奈川県,生成ＡＩサービス提供業務【概算総価入札】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQwNjMzNg==
2026-02-19,,結果待ち,③PoC,,独法,独立行政法人日本医療研究開発機構,東京都,創薬支援を見据えた生成AIシステムの試行的構築及びコンサルティング業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMTI0OTY4NQ==
2026-02-18,2026-02-18,落札済,⑤運用,,都道府県,東京都,東京都,令和８年度「Invest Tokyo」ホームページ及びAI チャットボット保守・運用業務委託,FY2025,,株式会社ＬＩＦＥＳＹＮＣ,2090000,,"{応札企業名＝株式会社ＬＩＦＥＳＹＮＣ、応札結果・備考＝、応札金額＝1900000},{応札企業名＝株式会社プラージュ、応札結果・備考＝、応札金額＝3380000},{応札企業名＝日本電算株式会社、応札結果・備考＝、応札金額＝3920000},{応札企業名＝株式会社アクロスペイラ、応札結果・備考＝、応札金額＝4280000},{応札企業名＝株式会社ブロードテック、応札結果・備考＝、応札金額＝5930000},{応札企業名＝合同会社ＦＩＥＬＤ、応札結果・備考＝辞退、応札金額＝}",18,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNlIyNzA2OTQzNQ==
2026-02-18,,結果待ち,④構築,生成AI（その他）,独法,独立行政法人農業・食品産業技術総合研究機構,茨城県,農業生成AIにてCoTから回答のための観点を抽出する手法の開発,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU1NTEyOA==
2026-02-18,,結果待ち,④構築,生成AI（その他）,国,防衛省/防衛研究所,東京都,戦史叢書の生成ＡＩ用テキストデータの作成,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQxMDE3MQ==
2026-02-18,,結果待ち,②設計,,市区町村,大阪市,大阪府,令和8年度大阪市における生成AI活用に関するロードマップ作成等支援業務委託【大阪市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM2Mzg4Mg==
2026-02-17,,結果待ち,④構築,生成AIサービス導入,市区町村,その他愛知県市町村/大府市,愛知県,大府市生成AIサービスの導入委託【大府市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ0MTAwMA==
,,結果待ち,④構築,活用支援・コンサル,市区町村,富山県市町村/小矢部市,富山県,【補助金】中小企業等生成AI活用支援事業補助金について【小矢部市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU2MTk5Mw==
2026-02-13,,結果待ち,④構築,RAG構築,市区町村,その他東京都市町村/武蔵野市,東京都,FAQ・RAG検索システム提供役務【武蔵野市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMTI0Nzc1Ng==
,2026-02-12,落札済,⑤運用,,都道府県,東京都,東京都,令和８年度都立学校向け生成ＡＩサービスの改修・保守・運用等業務委託,FY2025,,コニカミノルタジャパン株式会社,1403600000,,{応札企業名＝コニカミノルタジャパン株式会社、応札結果・備考＝、応札金額＝1276000000},3,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNlIyNzA1MDcyNg==
2026-02-12,,結果待ち,⑤運用,,市区町村,東京23区/北区,東京都,AIチャットボット構築・運用保守業務委託【北区】,FY2025,指名,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ3ODkzOA==
2026-02-12,,結果待ち,④構築,生成AI（その他）,国,防衛省/海上自衛隊/補給本部,東京都,令和７年度~令和９年度「生成ＡＩによる構造化された海自ロジスティクス基盤システム設備情報の作成」,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ0MTczOQ==
2026-02-10,,結果待ち,⑤運用,,市区町村,東京23区/新宿区,東京都,次期新宿区総合案内用ＡＩチャットボット構築・運用保守業務【新宿区】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM4NjczOQ==
2026-02-09,2026-02-09,落札済,④構築,RAG構築,市区町村,岡山市,岡山県,岡山市RAGシステム提供業務委託【岡山市】,FY2025,,提案者なし,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNlIyNzA0MTI4NQ==
,2026-02-09,落札済,⑤運用,,都道府県,東京都,東京都,チャットボットの拡張及び運用支援委託,FY2025,,富士通Ｊａｐａｎ株式会社,219668790,,{応札企業名＝富士通Ｊａｐａｎ株式会社、応札結果・備考＝、応札金額＝199698900},3,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNlIyNzA0MDIzMw==
2026-02-09,,結果待ち,④構築,チャットボット,市区町村,札幌市,北海道,市立札幌病院チャットボットシステム導入業務【札幌市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQzMjQ4MA==
2026-02-09,,結果待ち,④構築,生成AI（その他）,独法,独立行政法人医薬品医療機器総合機構,東京都,生成AI用サーバー及びPC一式の調達,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQxNDA3Nw==
2026-02-09,2025-01-17,落札済,⑤運用,,市区町村,その他大阪府市町村/八尾市,大阪府,八尾市生成AI導入運用業務【八尾市】,FY2025,,株式会社クラフター,2970000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNTc5NDgzOQ==
,2026-02-06,落札済,⑤運用,,都道府県,東京都,東京都,令和８年度パラスポーツ関連Webサイトに係るAIチャットボット運用業務委託,FY2025,,株式会社ビースポーク,11519953,,{応札企業名＝株式会社ビースポーク、応札結果・備考＝、応札金額＝10472685},3,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNlIyNzA0MDI1NA==
2026-02-06,,結果待ち,④構築,教育・学校AI,市区町村,奈良県市町村/明日香村,奈良県,生成AI英会話システム導入事業 （聖徳中学校）【明日香村】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMTI2Mzc0OQ==
,,結果待ち,④構築,生成AI（その他）,都道府県,茨城県,茨城県,令和８年度文章生成AIサービス（協同調達）提供業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ5Nzg0Mg==
2026-02-05,,結果待ち,④構築,生成AIサービス導入,都道府県,群馬県,群馬県,生成AIサービス導入・提供業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM3NzQwOA==
2026-02-05,,結果待ち,④構築,生成AI（その他）,都道府県,三重県,三重県,令和７年度生成AI利用ローカル環境構築業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM2OTg0Ng==
,2026-02-04,落札済,④構築,チャットボット,都道府県,東京都,東京都,都立図書館情報システム所蔵資料紹介型AIチャットボットの洋書書誌情報追加学習等作業委託,FY2025,,ＮＴＴ東日本株式会社,1650000,,{応札企業名＝ＮＴＴ東日本株式会社、応札結果・備考＝、応札金額＝1500000},3,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNlIyNzA0MTkxOA==
2026-02-04,,結果待ち,④構築,活用支援・コンサル,都道府県,愛知県,愛知県,中小企業生成AI活用支援事業（ポータルサイト構築）,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM3ODE5MA==
2026-02-03,,結果待ち,⑤運用,,独法,独立行政法人産業技術総合研究所,"茨城県,東京都",臨海副都心センター展示場で用いる生成AI活用説明システム構築・運用作業,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTMzODIyOQ==
2026-02-02,,結果待ち,④構築,生成AI（その他）,独法,独立行政法人農業・食品産業技術総合研究機構,茨城県,BRIDGE生成AI関連タスクのためのオントロジーを使用した情報整理ツールの開発業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTMxOTMyMw==
2026-01-30,2026-01-30,落札済,⑤運用,,独法,独立行政法人水資源機構,埼玉県,生成AI等ライセンス購入,FY2025,,株式会社広野,5309700,,{応札企業名＝株式会社広野、応札結果・備考＝落札、応札金額＝5309700},3,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNlIyNzAzMDQ1Nw==
,,結果待ち,④構築,生成AI（その他）,その他,その他/jGrants,全国,「ポスト5G情報通信システム基盤強化研究開発事業／競争力ある生成AI基盤モデル開発（GENIAC）」の公募,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQzODcyNQ==
2026-01-29,,結果待ち,①研修,,都道府県,佐賀県,佐賀県,令和7年度生成AI利活用研修委託業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMTI2ODA2MA==
2026-01-28,,結果待ち,④構築,RAG構築,都道府県,岐阜県,岐阜県,ＵｌｔｒａＧｅｎｅ Ａｓｓａｙ Ｒｅｓｐｉｒａｔｏｒｙ ｐａｔｈｏｇｅｎｓ ２２の購入について,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM2NzIwNw==
2026-01-28,,結果待ち,⑤運用,,その他,日本政策金融公庫,東京都,事業ローンチャットボットに係る保守業務委託及びサービス利用,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTMzNTczNw==
2026-01-28,,結果待ち,①研修,,独法,独立行政法人製品評価技術基盤機構,東京都,【役務】生成AIアプリ作成研修及び伴走支援,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMTIxMTI3Ng==
2026-01-27,,結果待ち,⑤運用,,独法,独立行政法人住宅金融支援機構,東京都,ＡＩチャットボット等の導入及び運用等業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNU4yMTEzMTE2Nw==
2026-01-26,,結果待ち,⑤運用,,独法,独立行政法人理化学研究所,兵庫県,生成AIモデル向け計算機システム保守,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTMwOTU4Mg==
2026-01-26,,結果待ち,④構築,生成AI（その他）,独法,独立行政法人新エネルギー・産業技術総合開発機構,神奈川県,「ポスト5G情報通信システム基盤強化研究開発事業／生成AI基盤モデル開発のあり方及びGENIACの成果最大化に関する調査」および「「NEDO懸賞金活用型プログラム／GENIACｰPRIZE 2026」の運営に関する調査」,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTI5Mjk4OQ==
2026-01-23,,結果待ち,④構築,RAG構築,市区町村,熊本市,熊本県,薬品・器具（100399 ステンレススチールナット、O-リング、Ultragrade 19オイル他）【熊本市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM5NDkzOA==
,2026-01-22,落札済,④構築,AI（その他）,市区町村,東京23区/葛飾区,東京都,行政特化型AIエージェントシステム用マイクの購入【葛飾区】,FY2025,,エビヌマ株式会社,1161930,1346730,"{応札企業名＝エビヌマ株式会社、応札結果・備考＝、応札金額＝1161930},{応札企業名＝有限会社コーヨー、応札結果・備考＝、応札金額＝1281000},{応札企業名＝株式会社延文堂、応札結果・備考＝辞退、応札金額＝}",9,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNlIyNjk2NjIxMg==
2026-01-22,2025-02-18,落札済,⑤運用,,その他,日本政策金融公庫,東京都,業務照会チャットボット及びサービスデスクチャットボットに係る運用保守並びにクラウドサービスに係る調達(一式),FY2025,,株式会社NTTデータ,12870000,12870000,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNTU1NTU5MA==
,2026-01-21,落札済,④構築,生成AI（その他）,都道府県,京都府,京都府,令和7年度離職者等再就職訓練事業はじめての生成AI活用科委託業務,FY2025,,株式会社アイシーエル,7722000,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNlIyNzA1NTYxNQ==
2026-01-20,,結果待ち,④構築,教育・学校AI,国,文部科学省/初等中等教育局,東京都,生成AIの活用を通じた教育課題の解決・教育DXの加速事業,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTMwMDA5Mg==
