問い合わせ番号,ステータス,発注機関,機関タイプ,発注地域,件名,フェーズ,サブカテゴリ,年度,入札種別,案件登録日,入札日,開札日,落札会社名,落札金額,落札金額(数値),予定金額,応札企業,応札社数,ノイズ判定,重複除外,採用レコード
N21541228,入札中,富山県市町村/小矢部市,市区町村,富山県,【補助金】中小企業等生成AI活用支援事業補助金について【小矢部市】,④構築,活用支援・コンサル,FY2025,競争・公募,2026-02-12,,,,,,,,,,,○
N21539793,入札中,国土交通省/大阪航空局,,"大阪府,沖縄県",久米島空港外4空港RAG空港用ITV装置設置工事,,,,競争・公募,2026-02-12,2026-03-23,,,,,,,,ノイズ,,
R27050726,落札結果,東京都,都道府県,東京都,令和８年度都立学校向け生成ＡＩサービスの改修・保守・運用等業務委託,⑤運用,,,,,,2026-02-12,コニカミノルタジャパン株式会社,1403600000,1403600000,,{応札企業名＝コニカミノルタジャパン株式会社、応札結果・備考＝、応札金額＝1276000000},3,,,○
N21528741,入札中,国土交通省/東京空港事務所,,東京都,令和8年度 新島RAG発電設備等保守業務（東京航空局 東京空港事務所）,,,,競争・公募,2026-02-10,2026-03-17,,,,,,,,ノイズ,,
N21526259,入札中,国土交通省/新千歳空港事務所,その他,北海道,【東京航空局新千歳空港事務所】令和８年度利尻ＶＯＲ／ＤＭＥ－ＲＡＧ局舎機械警備請負,④構築,AI（その他）,FY2025,競争・公募,2026-02-10,2026-02-25,,,,,,,,,,○
N21525011,入札中,長崎県,都道府県,長崎県,生成AIサービスのライセンス調達及び活用支援業務委託,⑤運用,,FY2025,競争・公募,2026-02-10,2026-03-03,,,,,,,,,,○
N21523708,入札中,京都市,市区町村,京都府,令和8年度 庁内利活用のための汎用的な生成AIサービス提供事業者【京都市】,④構築,庁内生成AI環境,FY2025,競争・公募,2026-02-10,2026-02-24,,,,,,,,,,○
N21523560,入札中,金融庁,国,東京都,生成AIを活用した地域金融機関のDX化に向けた実証研究事業,③PoC,,FY2025,競争・公募,2026-02-10,2026-03-09,,,,,,,,,,○
N21519732,入札中,東京都,都道府県,東京都,リスキリング人材強化研修（生成AI活用）実施委託,①研修,,FY2025,競争・公募,2026-02-09,2026-03-02,,,,,,,,,,○
N21517383,入札中,デジタル庁,国,東京都,ガバメントAIに係る生成AI利用環境の大規模導入実証事業,③PoC,,FY2025,競争・公募,2026-02-09,2026-03-11,,,,,,,,,,○
N21517059,入札中,デジタル庁,国,東京都,令和8年度国・地方共通相談チャットボット運用・保守,⑤運用,,FY2025,競争・公募,2026-02-09,2026-03-23,,,,,,,,,,○
N21512481,入札中,警察庁/警察大学校,独法,東京都,生成AI研究用機器の購入,④構築,生成AI（その他）,FY2025,競争・公募,2026-02-09,2026-02-20,,,,,,,,,,○
R27041285,落札結果,岡山市,市区町村,岡山県,岡山市RAGシステム提供業務委託【岡山市】,④構築,RAG構築,,,,,2026-02-09,提案者なし,,,,,,,,○
R27040233,落札結果,東京都,都道府県,東京都,チャットボットの拡張及び運用支援委託,⑤運用,,,,,,2026-02-09,富士通Ｊａｐａｎ株式会社,219668790,219668790,,{応札企業名＝富士通Ｊａｐａｎ株式会社、応札結果・備考＝、応札金額＝199698900},3,,,○
N21505874,入札中,国土交通省,国,東京都,まちづくりDXの推進に向けた衛星データを活用したモデル作成実証および生成AI技術を用いた3D都市モデルの作成手法の開発業務,③PoC,,FY2025,競争・公募,2026-02-06,2026-02-27,,,,,,,,,,○
N21503443,入札中,その他兵庫県市町村/上郡町,市区町村,兵庫県,住民問い合わせ対応AIチャットボットシステム調達【上郡町】,④構築,チャットボット,FY2025,競争・公募,2026-02-06,2026-03-03,,,,,,,,,,○
R27040254,落札結果,東京都,都道府県,東京都,令和８年度パラスポーツ関連Webサイトに係るAIチャットボット運用業務委託,⑤運用,,,,,,2026-02-06,株式会社ビースポーク,11519953,11519953,,{応札企業名＝株式会社ビースポーク、応札結果・備考＝、応札金額＝10472685},3,,,○
N21500959,入札中,三重県,都道府県,三重県,令和８年度みえ産廃申請案内チャットボットサービス運用業務委託,⑤運用,,FY2025,競争・公募,2026-02-05,2026-02-26,,,,,,,,,,○
N21497842,入札中,茨城県,都道府県,茨城県,令和８年度文章生成AIサービス（協同調達）提供業務,④構築,生成AI（その他）,FY2025,競争・公募,2026-02-05,,,,,,,,,,,○
N21494088,入札中,金融庁,国,東京都,海外における資産運用に係る生成AIの活用に関する調査,⑤運用,,FY2025,競争・公募,2026-02-05,2026-02-20,,,,,,,,,,○
N21488987,入札中,国土交通省/中国地方整備局,その他,広島県,令和８年度機能統合型生成AIサービス,④構築,生成AI（その他）,FY2025,競争・公募,2026-02-04,2026-03-06,,,,,,,,,,○
R27041918,落札結果,東京都,都道府県,東京都,都立図書館情報システム所蔵資料紹介型AIチャットボットの洋書書誌情報追加学習等作業委託,④構築,チャットボット,,,,,2026-02-04,ＮＴＴ東日本株式会社,1650000,1650000,,{応札企業名＝ＮＴＴ東日本株式会社、応札結果・備考＝、応札金額＝1500000},3,,,○
R27032491,落札結果,防衛省,,北海道,ゼメックスバイポーラスネアＳ ＤＲＡＧＯＮＡＲＥ,,,,,,,2026-02-04,エーノースメディカル株式会社札幌支店,119600,119600,,,,ノイズ,,
R27032486,落札結果,防衛省,,北海道,セメックスバイポーラスネアＳ ＤＯＲＡＧＯＮＡＲＥ,,,,,,,2026-02-04,エーノースメディカル株式会社札幌支店,119600,119600,,,,ノイズ,,
N21478938,入札中,東京23区/北区,市区町村,東京都,AIチャットボット構築・運用保守業務委託【北区】,⑤運用,,FY2025,指名,2026-02-03,2026-02-12,,,,,,,,,,○
N21475137,入札中,東京都,都道府県,東京都,令和８年度「Invest Tokyo」ホームページ及びAI チャットボット保守・運用業務委託,⑤運用,,FY2025,競争・公募,2026-02-03,2026-02-18,,,,,,,,,,○
N21474674,入札中,国立大学法人/新潟大学,独法,新潟県,教育機関向け生成ＡＩサービスライセンスの更新 一式,⑤運用,,FY2025,随意,2026-02-03,2026-02-24,,,,,,,,,,○
R27024261,落札結果,和歌山県,,和歌山県,閲覧表１月ー５ その他A 空気呼吸器用部品 Drager（ドレーゲル）空気呼吸器用 減圧器Ｏリング R51023 10個入 20袋,,,,,,,2026-02-03,有限会社和歌山防火協会,110000,110000,,,,ノイズ,,
R27024260,落札結果,和歌山県,,和歌山県,閲覧表１月ー５ その他A 空気呼吸器インナーマスク Drager（ドレーゲル）空気呼吸器FPS7000面体用インナーマスク Ｍサイズ 20個,,,,,,,2026-02-03,有限会社和歌山防火協会,68000,68000,,,,ノイズ,,
R27024259,落札結果,和歌山県,,和歌山県,閲覧表１月ー５ その他A 携帯警報器 Drager（ドレーゲル）携帯警報器ボディガード１０００ 5個,,,,,,,2026-02-03,有限会社和歌山防火協会,212000,212000,,,,ノイズ,,
N21460540,入札中,東京都,都道府県,東京都,生成AI利活用支援等委託,④構築,活用支援・コンサル,FY2025,競争・公募,2026-02-02,2026-03-13,,,,,,,,,,○
R27030457,落札結果,独立行政法人水資源機構,独法,埼玉県,生成AI等ライセンス購入,⑤運用,,,,,,2026-01-30,株式会社広野,5309700,5309700,,{応札企業名＝株式会社広野、応札結果・備考＝落札、応札金額＝5309700},3,,,○
N21442704,入札中,日本郵政グループ/株式会社ゆうちょ銀行,その他,東京都,戦略的システム利活用・体制強化と生成AI活用人材の共創的育成に係るアドバイザリー・サービスの委託,④構築,活用支援・コンサル,FY2025,競争・公募,2026-01-29,2026-02-27,,,,,,,,,,○
N21441739,入札中,防衛省/海上自衛隊/補給本部,その他,東京都,令和７年度~令和９年度「生成ＡＩによる構造化された海自ロジスティクス基盤システム設備情報の作成」,④構築,生成AI（その他）,FY2025,競争・公募,2026-01-29,2026-02-12,,,,,,,,,,○
N21441000,入札中,その他愛知県市町村/大府市,市区町村,愛知県,大府市生成AIサービスの導入委託【大府市】,④構築,生成AIサービス導入,FY2025,競争・公募,2026-01-29,2026-02-17,,,,,,,,,,○
N21438725,入札中,その他/jGrants,その他,全国,「ポスト5G情報通信システム基盤強化研究開発事業／競争力ある生成AI基盤モデル開発（GENIAC）」の公募,④構築,生成AI（その他）,FY2025,競争・公募,2026-01-29,,,,,,,,,,,○
N21432480,入札中,札幌市,市区町村,北海道,市立札幌病院チャットボットシステム導入業務【札幌市】,④構築,チャットボット,FY2025,競争・公募,2026-01-28,2026-02-09,,,,,,,,,,○
N21428648,入札中,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,ポスト5G情報通信システム基盤強化研究開発事業／競争力ある生成AI基盤モデルの開発（GENIAC）,④構築,生成AI（その他）,FY2025,競争・公募,2026-01-27,2026-03-19,,,,,,,,,,○
N21427960,入札中,三重県,都道府県,三重県,令和８年度三重県生成AI利用環境等提供委託業務,④構築,生成AIサービス導入,FY2025,競争・公募,2026-01-27,2026-02-20,,,,,,,,,,○
R26994519,落札結果,和歌山県,,和歌山県,閲覧表１月ー４ OA・電気関係A 掃除機 Ｏｒａｇｅ ＲＲ１１ ゴ-ルド コードレス掃除機 1個,,,,,,,2026-01-27,岡崎商事株式会社,11888,11888,,,,ノイズ,,
N21415782,入札中,衆議院,国,東京都,衆議院法制局における生成AI利活用に関する調査及び利用支援業務,④構築,生成AI（その他）,FY2026,競争・公募,2026-01-26,2026-04-21,,,,,,,,,,○
N21414077,入札中,独立行政法人医薬品医療機器総合機構,独法,東京都,生成AI用サーバー及びPC一式の調達,④構築,生成AI（その他）,FY2025,競争・公募,2026-01-26,2026-02-09,,,,,,,,,,○
N21410171,入札中,防衛省/防衛研究所,独法,東京都,戦史叢書の生成ＡＩ用テキストデータの作成,④構築,生成AI（その他）,FY2025,競争・公募,2026-01-23,2026-02-18,,,,,,,,,,○
N21406336,入札中,神奈川県,都道府県,神奈川県,生成ＡＩサービス提供業務【概算総価入札】,④構築,生成AI（その他）,FY2025,競争・公募,2026-01-23,2026-02-20,,,,,,,,,,○
N21398334,入札中,国土交通省/大阪空港事務所,その他,"大阪府,島根県",令和８年度隠岐ＲＡＧ局舎外１局舎機械警備業務請負,④構築,AI（その他）,FY2025,競争・公募,2026-01-22,2026-02-26,,,,,,,,,,○
N21394938,入札中,熊本市,市区町村,熊本県,薬品・器具（100399 ステンレススチールナット、O-リング、Ultragrade 19オイル他）【熊本市】,④構築,RAG構築,FY2025,競争・公募,2026-01-22,2026-01-23,,,,,,,,,,○
R26966212,落札結果,東京23区/葛飾区,市区町村,東京都,行政特化型AIエージェントシステム用マイクの購入【葛飾区】,④構築,AI（その他）,,,,,2026-01-22,エビヌマ株式会社,1161930,1161930,1346730,"{応札企業名＝エビヌマ株式会社、応札結果・備考＝、応札金額＝1161930},{応札企業名＝有限会社コーヨー、応札結果・備考＝、応札金額＝1281000},{応札企業名＝株式会社延文堂、応札結果・備考＝辞退、応札金額＝}",9,,,○
N21386739,入札中,東京23区/新宿区,市区町村,東京都,次期新宿区総合案内用ＡＩチャットボット構築・運用保守業務【新宿区】,⑤運用,,FY2025,競争・公募,2026-01-21,2026-02-10,,,,,,,,,,○
N21386488,入札中,沖縄県市町村/那覇市,市区町村,沖縄県,令和8年度那覇市立中学校生成AI英会話システム導入業務【那覇市】,④構築,教育・学校AI,FY2025,競争・公募,2026-01-21,2026-03-05,,,,,,,,,,○
N21386359,入札中,地方公共団体金融機構,独法,東京都,令和８年度生成AIサービス利用環境提供業務,⑤運用,,FY2025,競争・公募,2026-01-21,2026-03-05,,,,,,,,,,○
R27055615,落札結果,京都府,都道府県,京都府,令和7年度離職者等再就職訓練事業はじめての生成AI活用科委託業務,④構築,生成AI（その他）,,,,,2026-01-21,株式会社アイシーエル,7722000,7722000,,,,,,○
N21379389,入札中,防衛省/陸上自衛隊/相浦駐屯地,,長崎県,１２２ｍｍＯＦ-４６２ Ｓｏｖｉｅｔ ＨＥ Ｆｒａｇ Ａｒｔｉｌｌｅｒｙ Ｐｒｏｊｅｃｔｉｌｅ-ＩｎｅｒｔＲｅｐｌｉｃａほか６件,,,,競争・公募,2026-01-20,2026-01-27,,,,,,,,ノイズ,,
N21378226,入札中,岡山市,市区町村,岡山県,岡山市RAGシステム提供業務委託【岡山市】,④構築,RAG構築,FY2025,競争・公募,2026-01-20,2026-02-09,,,,,,,,,,○
N21378190,入札中,愛知県,都道府県,愛知県,中小企業生成AI活用支援事業（ポータルサイト構築）,④構築,活用支援・コンサル,FY2025,競争・公募,2026-01-20,2026-02-04,,,,,,,,,,○
N21377408,入札中,群馬県,都道府県,群馬県,生成AIサービス導入・提供業務,④構築,生成AIサービス導入,FY2025,競争・公募,2026-01-20,2026-02-05,,,,,,,,,,○
R26963046,落札結果,和歌山県,,和歌山県,閲覧表１月ー３ OA・電気関係A Network Attached Storage（ネットワーク接続型ストレージ） I・O DATA 詳細は仕様書参照 1台,,,,,,,2026-01-20,ミカサ事務機株式会社,158400,158400,,,,ノイズ,,
N21369846,入札中,三重県,都道府県,三重県,令和７年度生成AI利用ローカル環境構築業務,④構築,生成AI（その他）,FY2025,競争・公募,2026-01-19,2026-02-05,,,,,,,,,,○
N21367207,入札中,岐阜県,都道府県,岐阜県,ＵｌｔｒａＧｅｎｅ Ａｓｓａｙ Ｒｅｓｐｉｒａｔｏｒｙ ｐａｔｈｏｇｅｎｓ ２２の購入について,④構築,AI（その他）,FY2025,競争・公募,2026-01-19,2026-01-28,,,,,,,,,,○
R26953883,落札結果,東京都,都道府県,東京都,生成AIを活用した課題解決ワークショップ実施委託,①研修,,,,,,2026-01-19,株式会社エージェント,1063700,1063700,,"{応札企業名＝株式会社エージェント、応札結果・備考＝、応札金額＝967000},{応札企業名＝ヒューマンアカデミー株式会社、応札結果・備考＝、応札金額＝1120000},{応札企業名＝株式会社ＴＯＡＳＵ、応札結果・備考＝、応札金額＝2409000},{応札企業名＝株式会社富士通ラーニングメディア、応札結果・備考＝辞退、応札金額＝},{応札企業名＝パーソルビジネスプロセスデザイン株式会社、応札結果・備考＝不参、応札金額＝},{応札企業名＝株式会社インソースデジタルアカデミー、応札結果・備考＝不参、応札金額＝},{応札企業名＝株式会社ワライフ、応札結果・備考＝不参、応札金額＝},{応札企業名＝株式会社ＳＡＭＵＲＡＩ、応札結果・備考＝不参、応札金額＝}",24,,,○
N21363882,入札中,大阪市,市区町村,大阪府,令和8年度大阪市における生成AI活用に関するロードマップ作成等支援業務委託【大阪市】,②設計,,FY2025,競争・公募,2026-01-16,2026-02-18,,,,,,,,,,○
R27013138,落札結果,海上保安庁,国,東京都,ＳＴＲＡＧＥ ＶＥＳＳＥＬ―ＧＡＳ ８個買入,④構築,AI（その他）,,,,,2026-01-16,株式会社ティー・エム・シー・インターナショナル,40700000,40700000,57880000,,,,,○
R26935174,落札結果,海上保安庁,国,東京都,ＳＴＲＡＧＥ ＶＥＳＳＥＬ－ＧＡＳ８個買入,④構築,AI（その他）,,,,,2026-01-16,株式会社ティー・エム・シー・インターナショナル,37000000,37000000,52618182,,,,,○
R27050378,落札結果,茨城県市町村/東海村,市区町村,茨城県,AIチャットボットクラウド使用契約【東海村】,④構築,チャットボット,,,,,2026-01-15,アディッシュ株式会社,1080000,1080000,,,,,,○
N21338229,入札中,独立行政法人産業技術総合研究所,独法,"茨城県,東京都",臨海副都心センター展示場で用いる生成AI活用説明システム構築・運用作業,⑤運用,,FY2025,競争・公募,2026-01-13,2026-02-03,,,,,,,,,,○
N21335737,入札中,日本政策金融公庫,その他,東京都,事業ローンチャットボットに係る保守業務委託及びサービス利用,⑤運用,,FY2025,競争・公募,2026-01-13,2026-01-28,,,,,,,,,,○
N21329995,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2025,競争・公募,2026-01-13,,,,,,,,,,,○
N21329461,入札中,その他大阪府市町村/八尾市,市区町村,大阪府,八尾市生成AI導入運用業務【八尾市】,⑤運用,,FY2025,競争・公募,2026-01-13,2026-02-09,,,,,,,,,,○
N21319323,入札中,独立行政法人農業・食品産業技術総合研究機構,独法,茨城県,BRIDGE生成AI関連タスクのためのオントロジーを使用した情報整理ツールの開発業務,④構築,生成AI（その他）,FY2025,競争・公募,2026-01-08,2026-02-02,,,,,,,,,,○
N21318929,入札中,日本政策金融公庫,その他,東京都,業務照会チャットボット及びサービスデスクチャットボットに係る運用保守並びにクラウドサービスに係る調達,⑤運用,,FY2025,競争・公募,2026-01-08,2026-01-22,,,,,,,,,,○
N21309582,入札中,独立行政法人理化学研究所,独法,兵庫県,生成AIモデル向け計算機システム保守,⑤運用,,FY2025,競争・公募,2026-01-07,2026-01-26,,,,,,,,,,○
N21304347,入札中,独立行政法人日本原子力研究開発機構,独法,茨城県,生成AI基盤システムの企画・開発・運用に係る労働者派遣契約,⑤運用,,FY2025,競争・公募,2026-01-06,2026-03-06,,,,,,,,,,○
R26898460,落札結果,和歌山県,都道府県,和歌山県,令和７年度生成ＡＩサービス提供業務,④構築,生成AI（その他）,,,,,2026-01-06,株式会社エクサウィザーズ,397440,397440,,,,,,○
N21300092,入札中,文部科学省/初等中等教育局,その他,東京都,生成AIの活用を通じた教育課題の解決・教育DXの加速事業,④構築,教育・学校AI,FY2025,競争・公募,2026-01-05,2026-01-20,,,,,,,,,,○
N21293884,入札中,その他,その他,全国,【米軍案件】STORAGE SERVER COMP,④構築,RAG構築,FY2025,競争・公募,2026-01-05,,,,,,,,,,,○
N21292989,入札中,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,「ポスト5G情報通信システム基盤強化研究開発事業／生成AI基盤モデル開発のあり方及びGENIACの成果最大化に関する調査」および「「NEDO懸賞金活用型プログラム／GENIACｰPRIZE 2026」の運営に関する調査」,④構築,生成AI（その他）,FY2025,競争・公募,2026-01-05,2026-01-26,,,,,,,,,,○
N21289920,入札中,国立大学法人/岡山大学,独法,岡山県,生成ＡＩによる自動医療文書作成システム 一式,④構築,生成AI（その他）,FY2025,随意,2026-01-05,2026-01-19,,,,,,,,,,○
N21277527,入札中,茨城県,都道府県,茨城県,業務効率化機能付RAG機能搭載文章生成AIサービス提供業務(変更契約3),④構築,RAG構築,FY2025,随意,2025-12-25,2026-01-07,,,,,,,,,,○
R27039259,落札結果,独立行政法人海洋研究開発機構,独法,神奈川県,RAG機能を組み込んだAIチャットボットシステムの構築・導入業務,④構築,チャットボット,,,,,2025-12-25,株式会社インサイト,3960000,3960000,,,,,,○
N21271520,入札中,独立行政法人国際協力機構,独法,東京都,情報システム基盤における生成ＡＩ活用推進支援業務 一式,④構築,活用支援・コンサル,FY2025,随意,2025-12-24,2026-01-16,,,,,,,,,,○
R27013535,落札結果,日本郵政グループ,その他,東京都,ＡＩサービスデスク導入に伴うＡＩチャットボットの構築,④構築,チャットボット,,,,,2025-12-24,かんぽシステムソリューションズ株式会社,97927500,97927500,,,,,,○
N21271140,入札中,防衛省/航空自衛隊/第3補給処,,埼玉県,MEMORY UNIT，DATA STRAGE,,,,競争・公募,2025-12-23,2026-01-21,,,,,,,,ノイズ,,
N21268787,入札中,東京都,都道府県,東京都,生成AIを活用した課題解決ワークショップ実施委託,①研修,,FY2025,競争・公募,2025-12-23,2026-01-19,,,,,,,,,,○
N21268060,入札中,佐賀県,都道府県,佐賀県,令和7年度生成AI利活用研修委託業務,①研修,,FY2025,競争・公募,2025-12-23,2026-01-29,,,,,,,,,,○
N21266967,入札中,国立大学法人/宮崎大学,,宮崎県,全身麻酔装置 二式 Dragerwerk AG & Co. KGaA 社製 Atlan A300,,,,競争・公募,2025-12-23,2026-01-21,,,,,,,,ノイズ,,
R27033474,落札結果,その他埼玉県市町村/戸田市,市区町村,埼玉県,生成AI自動応答サービス調達業務（長期継続契約）【戸田市】,④構築,生成AI（その他）,,,,,2025-12-23,伊藤忠テクノソリューションズ株式会社 公共営業第２部,3770000,3770000,6216000,,,,,○
R27032095,落札結果,独立行政法人産業技術総合研究所,独法,茨城県,生成AI基盤モデル開発用計算機,④構築,生成AI（その他）,,,,,2025-12-23,北原商事株式会社,9339000,9339000,,,,,,○
R26942862,落札結果,群馬県市町村/太田市,市区町村,群馬県,太田市生成AIサービス提供事業【太田市】,④構築,生成AIサービス導入,,,,,2025-12-23,株式会社電通総研,,,,,,,,○
N21263749,入札中,奈良県市町村/明日香村,市区町村,奈良県,生成AI英会話システム導入事業 （聖徳中学校）【明日香村】,④構築,教育・学校AI,FY2025,競争・公募,2025-12-22,2026-02-06,,,,,,,,,,○
N21263747,入札中,独立行政法人水資源機構,独法,埼玉県,生成AI等ライセンス購入,⑤運用,,FY2025,競争・公募,2025-12-22,2026-01-30,,,,,,,,,,○
R26853886,落札結果,東京都,都道府県,東京都,東京データプラットフォームデータ連携基盤AIエージェント機能追加業務委託,④構築,AI（その他）,,,,,2025-12-22,日本電気株式会社,28941000,28941000,,{応札企業名＝日本電気株式会社、応札結果・備考＝、応札金額＝26310000},3,,,○
R27041875,落札結果,東京都,都道府県,東京都,離職者等再就職訓練 専門人材育成訓練令和８年４月生（生成AI・デジタルクリエイター学科・２年制）の業務委託 その7（複数単価契約）,④構築,生成AI（その他）,,,,,2025-12-19,学校法人中央情報学園,48345000,48345000,,{応札企業名＝学校法人中央情報学園、応札結果・備考＝、応札金額＝43950000},3,,,○
N21249685,入札中,独立行政法人日本医療研究開発機構,独法,東京都,創薬支援を見据えた生成AIシステムの試行的構築及びコンサルティング業務,③PoC,,FY2025,競争・公募,2025-12-18,2026-02-19,,,,,,,,,,○
N21247756,入札中,その他東京都市町村/武蔵野市,都道府県,東京都,FAQ・RAG検索システム提供役務【武蔵野市】,④構築,RAG構築,FY2025,競争・公募,2025-12-18,2026-02-13,,,,,,,,,,○
R26846487,落札結果,国土交通省,,大阪府,下地島空港RAG空港用ITV装置調整作業,,,,,,,2025-12-17,株式会社サンネクト,4500000,4500000,4572175,,,ノイズ,,
N21239817,入札中,東京23区/北区,市区町村,東京都,Difyハンズオン研修委託【北区】,①研修,,FY2025,競争・公募,2025-12-16,2026-01-07,,,,,,,,,,○
N21239641,入札中,東京23区/北区,市区町村,東京都,AIチャットボット構築・運用保守業務委託【北区】,⑤運用,,FY2025,競争・公募,2025-12-16,2026-01-07,,,,,,,,,,○
N21237311,入札中,総務省,国,東京都,07-0049-0306 生成AIを活用した政策と社会課題の対応関係の可視化等の分析に関する調査研究,④構築,生成AI（その他）,FY2025,競争・公募,2025-12-16,2026-01-20,,,,,,,,,,○
R26833992,落札結果,和歌山県,,和歌山県,11-3本部長契約：IT調達 ポータブルSSD Nextorage NX-P2SE 1TB 外付けﾀｲﾌﾟ 4個,,,,,,,2025-12-16,岡崎商事株式会社,65888,65888,,,,ノイズ,,
N21233319,入札中,和歌山県,都道府県,和歌山県,令和７年度生成ＡＩサービス提供業務,④構築,生成AI（その他）,FY2025,競争・公募,2025-12-15,2026-01-06,,,,,,,,,,○
N21232183,入札中,防衛装備庁,,東京都,令和７年度意思決定迅速化実験装置の研究試作に基づく防衛用マルチＡＩエージェントによるＡＩ幕僚能力獲得の研究の契約希望者,,,,競争・公募,2025-12-15,2026-01-09,,,,,,,,ノイズ,,
N21231806,入札中,デジタル庁,国,東京都,第三者検証業務におけるドキュメントレビュー支援AIエージェントの設計開発に係る調査研究,③PoC,,FY2025,競争・公募,2025-12-15,2026-01-13,,,,,,,,,,○
N21229344,入札中,独立行政法人日本学生支援機構,独法,東京都,独立行政法人日本学生支援機構 生成AI利用環境構築・導入業務,④構築,生成AIサービス導入,FY2025,競争・公募,2025-12-15,2026-01-13,,,,,,,,,,○
N21224319,入札中,デジタル庁,国,東京都,政府職員向け生成AI研修資料作成支援業務,①研修,,FY2025,競争・公募,2025-12-12,2026-01-16,,,,,,,,,,○
R27009935,落札結果,国立大学法人,,東京都,東京大学アトラス地域解析センター用ストレージソフトウェア（IBM Storage Scale StandardEdition）保守 一式,,,,,,,2025-12-12,丸紅ネットワークソリューションズ株式会社,508750,508750,,,,ノイズ,,
N21219798,入札中,国立大学法人/群馬大学,独法,群馬県,医療生成AIシステム,④構築,生成AI（その他）,FY2025,競争・公募,2025-12-11,2026-01-15,,,,,,,,,,○
N21217978,入札中,独立行政法人医薬品医療機器総合機構,独法,東京都,生成AI用サーバー一式の調達,④構築,生成AI（その他）,FY2025,競争・公募,2025-12-11,2026-01-08,,,,,,,,,,○
